;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я
а;137;716;2402;676;1410;742;1;546;1845;637;344;2511;4194;1962;2931;567;1282;1691;2904;2393;276;125;620;72;607;487;157;0;0;0;131;592;1185
б;308;3;41;3;5;1035;0;9;8;385;0;49;396;39;172;1190;6;567;81;8;590;0;30;1;9;7;103;61;1640;26;17;3;206
в;3140;116;212;153;410;2547;0;31;216;1704;0;381;522;175;903;3638;467;531;1562;316;416;16;40;34;97;709;17;6;1293;97;103;31;191
г;628;8;34;3;548;166;0;3;11;402;0;62;550;9;158;4063;26;464;39;10;287;0;1;0;23;5;0;0;0;0;3;2;5
д;2103;38;578;29;40;2051;0;16;36;1091;0;227;263;61;999;2358;135;842;265;88;867;1;23;77;25;66;0;11;390;333;10;12;190
е;117;991;2038;1716;1906;1013;0;492;1277;582;1111;1055;2837;2386;4401;687;1455;3346;3020;2415;345;44;342;124;755;438;362;0;0;0;147;128;178
ё;0;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
ж;692;31;3;7;359;1348;0;7;2;792;0;71;6;11;395;19;3;3;5;4;118;0;0;2;24;0;0;0;0;16;0;2;2
з;2280;122;514;185;580;276;0;47;57;316;0;147;142;183;956;347;119;186;98;44;170;4;8;13;37;11;2;17;263;69;12;2;145
и;176;689;2479;446;1017;1438;0;279;1548;992;688;1404;2245;1807;2525;821;1273;744;2372;2002;265;62;1214;482;1064;324;167;0;0;0;113;186;933
й;221;172;347;112;315;49;0;71;118;292;0;316;76;185;524;235;412;158;668;264;67;25;27;38;176;74;6;0;0;0;35;16;25
к;3321;123;328;45;91;377;0;58;82;1660;0;142;328;79;466;4201;179;1003;311;489;892;4;32;12;43;24;1;0;0;1;50;18;31
л;3104;86;272;143;146;2298;2;134;73;3978;0;355;96;81;369;3082;237;47;723;118;732;7;8;6;175;15;3;0;381;1763;34;507;709
м;1386;192;390;118;180;1816;0;41;109;2073;0;258;229;130;1029;1672;471;109;512;156;964;25;31;11;117;26;4;0;498;40;45;21;262
н;5166;82;138;76;447;4504;1;16;69;4235;0;217;17;27;1723;4907;184;52;379;371;1206;18;16;194;136;8;69;0;1854;512;10;94;683
о;76;2273;4615;2408;3002;1303;0;990;885;762;2109;1594;2949;3091;3599;744;1618;3497;4184;3397;256;73;293;53;1114;532;137;0;0;0;150;353;451
п;910;1;1;1;2;1197;0;0;0;461;0;51;464;0;65;4524;26;2968;17;39;426;1;0;5;11;5;0;0;112;30;0;1;130
р;3884;54;260;94;162;3414;0;126;53;2415;0;201;53;115;526;3880;90;33;227;381;1302;21;114;28;71;99;14;0;783;262;5;76;584
с;894;81;832;56;154;1618;6;24;36;644;0;1936;1284;375;811;1390;923;153;487;5931;424;18;109;30;171;52;0;8;219;1562;20;101;1885
т;2570;152;1433;53;168;2554;0;42;75;2060;0;482;166;109;760;5801;261;1378;763;155;776;7;29;41;133;15;5;16;796;2412;39;37;344
у;95;386;561;693;983;155;0;548;202;256;72;515;556;595;553;183;684;325;853;1008;46;32;302;13;517;417;215;0;0;0;35;494;49
ф;88;0;1;0;0;109;0;1;0;150;0;1;27;1;8;92;1;48;8;11;31;3;0;0;1;0;0;0;3;8;2;0;4
х;310;83;281;59;111;54;0;27;62;295;0;121;138;91;244;1087;277;177;273;90;163;12;10;10;43;29;5;3;0;0;17;12;16
ц;328;5;50;5;6;390;0;0;1;239;0;35;5;2;12;93;10;1;5;8;87;2;2;0;5;0;1;0;137;0;2;0;2
ч;1045;10;39;4;8;1468;0;4;9;810;0;239;14;5;447;42;44;24;28;1144;315;1;2;0;6;52;0;0;0;168;4;2;2
ш;578;1;14;1;4;1073;0;1;1;949;0;247;272;7;180;124;15;6;3;43;175;0;0;1;1;0;0;0;0;236;0;2;0
щ;255;0;3;0;4;745;0;2;1;491;0;3;4;0;21;4;1;1;3;0;70;0;0;0;0;0;0;0;0;24;1;0;0
ъ;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56
ы;37;157;844;89;165;751;0;38;112;230;654;256;1018;823;385;198;346;202;581;405;37;7;705;8;97;248;7;0;0;0;36;11;30
ь;71;169;505;93;200;371;0;38;213;395;1;672;95;230;1191;296;398;92;893;229;91;12;46;53;240;275;10;0;0;0;77;323;241
э;0;0;1;0;0;0;0;0;5;0;5;21;13;7;7;0;7;4;2;1053;0;2;6;0;0;9;0;0;0;0;0;0;0
ю;50;166;161;64;208;31;0;38;84;123;3;136;35;58;141;91;163;376;238;255;25;9;18;59;72;38;311;0;0;0;19;36;22
я;114;233;722;172;494;172;0;134;290;380;31;367;504;418;904;349;538;188;720;852;105;16;147;36;187;37;141;0;0;0;81;91;109
