;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я; 
а;2;407;1615;509;1062;529;0;495;1542;78;353;1986;4063;1666;2186;17;462;1549;2041;1912;53;73;536;45;417;441;161;0;0;0;1;496;1108;8388
б;336;1;27;5;3;1065;0;7;6;384;0;38;398;34;157;1201;0;560;83;2;556;0;36;0;4;6;104;53;1639;26;0;4;202;114
в;3148;12;36;18;191;2550;0;0;160;1556;0;129;441;77;633;3349;105;423;1239;106;378;0;27;15;30;654;14;7;1284;88;0;0;172;3177
г;649;0;5;0;489;170;0;0;0;392;0;42;552;2;113;4076;0;453;11;1;284;0;0;0;19;2;0;0;0;0;0;0;0;304
д;2116;24;527;6;19;1984;1;13;7;1058;0;181;244;46;926;2263;64;859;195;43;857;0;18;92;20;71;0;15;358;311;0;12;186;622
е;28;617;1181;1485;1477;923;0;403;874;87;1061;607;2607;2107;3622;114;508;3055;2156;2055;77;21;252;110;576;420;341;0;0;0;1;112;91;8410
ё;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
ж;625;22;1;6;361;1350;0;7;0;818;0;72;3;9;387;15;0;2;11;2;120;0;0;1;15;0;0;0;0;22;0;1;0;37
з;2382;123;434;153;551;279;0;48;27;281;0;98;127;147;862;310;14;123;10;10;170;0;0;11;17;5;0;23;265;58;0;0;136;807
и;46;307;1422;216;576;1230;0;193;1191;389;717;920;2039;1504;1609;102;156;453;1396;1604;31;34;1134;479;811;247;153;0;0;0;1;153;859;9831
й;1;10;0;9;69;2;0;0;1;1;0;62;8;28;222;9;3;3;279;139;1;0;1;23;87;32;1;0;0;0;1;0;1;3994
к;3299;0;147;1;1;357;0;12;20;1529;0;3;292;5;233;3922;2;939;121;381;820;0;9;12;0;15;0;0;0;0;0;1;0;2023
л;3175;20;12;84;50;2171;0;115;14;3852;0;224;63;8;146;2944;42;0;497;33;668;1;3;0;56;7;1;0;412;1752;0;439;688;2282
м;1285;19;17;14;25;1763;0;0;3;1730;0;69;171;15;657;1437;34;20;119;25;856;17;0;3;14;4;1;0;486;43;0;0;247;3716
н;5057;3;13;46;389;4497;1;4;10;4052;0;162;6;0;1659;4796;0;30;218;309;1169;21;3;213;86;2;59;0;1880;508;3;90;688;1270
о;7;1771;3664;2205;2589;1101;0;839;667;348;2187;1252;2850;2781;2800;119;732;3216;3271;3021;29;60;264;32;846;460;137;0;0;0;10;310;348;8774
п;909;0;0;0;0;1235;0;0;0;455;0;45;456;0;65;4567;22;2996;21;48;424;1;0;7;11;3;1;0;104;36;0;0;114;31
р;3841;36;165;75;143;3445;0;148;46;2296;0;163;44;118;487;3824;43;18;184;373;1298;21;105;21;59;102;11;0;777;271;0;63;579;449
с;872;49;716;19;78;1614;6;6;10;616;0;1868;1225;346;580;1278;742;108;414;5897;352;10;103;22;150;61;2;9;222;1551;0;100;1841;1382
т;2539;17;1198;9;95;2508;0;4;7;1938;0;379;117;25;512;5716;47;1286;563;34;730;6;11;26;54;3;4;20;794;2420;0;24;313;2228
у;43;311;255;629;895;92;0;532;131;5;75;328;525;486;153;2;327;303;571;860;0;18;264;6;396;377;191;0;0;0;0;489;25;3070
ф;84;0;0;0;0;101;0;0;0;142;0;2;27;2;9;91;0;52;8;11;35;2;0;0;0;0;0;0;5;4;0;0;1;17
х;275;0;93;1;5;25;0;0;0;120;0;0;99;16;78;930;0;80;59;15;117;0;1;0;0;4;0;3;0;0;3;0;1;2141
ц;328;0;41;0;0;349;0;0;0;207;0;37;2;0;0;85;0;0;0;3;82;0;0;0;0;0;0;0;146;0;0;0;0;108
ч;1027;0;6;0;0;1485;0;0;0;802;0;237;8;3;395;30;0;20;0;1094;337;0;0;0;0;46;0;0;0;161;0;0;0;253
ш;518;0;16;0;0;1140;0;0;0;936;0;265;265;10;195;123;7;5;0;41;175;0;0;1;0;0;0;0;0;225;0;1;0;27
щ;246;0;0;0;0;777;0;0;0;524;0;0;0;0;17;6;0;0;0;0;64;0;0;0;0;0;0;0;0;23;0;0;0;24
ъ;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;61;0
ы;0;55;628;44;71;685;0;25;44;1;623;141;994;786;143;2;82;153;347;311;0;0;705;5;54;220;7;0;0;0;0;0;9;2339
ь;0;43;16;16;8;243;0;1;63;44;0;432;1;85;748;4;4;0;504;44;0;0;0;43;65;259;9;0;0;0;0;276;179;4493
э;0;0;3;0;1;0;0;0;5;0;1;17;14;11;4;0;6;4;2;1055;0;2;6;0;0;6;0;0;0;0;0;0;0;3
ю;0;120;0;27;146;1;0;8;27;2;2;25;9;7;18;0;2;380;76;201;0;1;8;66;48;28;318;0;0;0;0;21;1;1627
я;0;38;130;69;281;62;0;78;151;8;30;98;392;240;335;0;16;30;248;681;0;0;124;24;64;3;132;0;0;0;0;75;61;5137
 ;1196;3083;7787;1804;3638;1676;1;861;2356;5100;6;4437;1381;2622;7621;5171;8128;2218;7564;3375;1825;264;599;191;2091;508;42;0;0;0;1180;346;784;0
